Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
------------ ----- ----- ----- -----,-----,-----,,----- -----,,-----,-----,-----,-----,----- ------,-----,---,---,---,------
0.00% 33.33% 11.11% 22.22%,,,,5.56% 11.11% 16.67%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7789-601   0,2,3,11,4,0,0,,0,0,0,0,0,0,20,3.382,0,0,0,20
KISER J 0.00% 10.00% 15.00% 55.00% 20.00%,,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,2,3,11,4,0,0,,0,0,0,0,0,0,20,3.382,0,0,0,20
0.00% 10.00% 15.00% 55.00% 20.00%,,,,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7790-601   0,3,3,5,4,1,0,,0,0,0,0,0,0,16,3.395,0,0,0,16
NEWMAN N 0.00% 18.75% 18.75% 31.25% 25.00%,,,,,6.25%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00% 18.75% 18.75% 31.25% 25.00%,,,,,6.25%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7793-601   0,2,7,3,0,0,0,,0,0,0,0,0,0,12,3.640,0,0,0,12
KRAMPITZ T 0.00% 16.67% 58.33% 25.00%,,,,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,2,7,3,0,0,0,,0,0,0,0,0,0,12,3.640,0,0,0,12
0.00% 16.67% 58.33% 25.00%,,,,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7859-601   1,4,3,0,0,0,0,,0,0,0,0,0,0,8,3.877,0,0,0,8
BELL S 12.50% 50.00% 37.50%,,,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
12.50% 50.00% 37.50%,,,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7865S-6013,2,0,0,1,0,0,,0,0,0,0,0,0,6,3.838,0,0,0,6
ROWDEN K 50.00% 33.33%,,0.00%,0.00% 16.67%,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :3,2,0,0,1,0,0,,0,0,0,0,0,0,6,3.838,0,0,0,6
50.00% 33.33%,,0.00%,0.00% 16.67%,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7868-601   1,4,2,0,0,0,0,,0,0,0,0,0,0,7,3.907,0,0,0,7
14.29% 57.14% 28.57%,,,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-601   0,21,1,1,0,0,0,,0,0,0,0,0,0,23,3.956,0,0,0,23
HERRERA L 0.00% 91.30%,,4.35%,4.35%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-602   1,2,10,3,3,3,5,,0,1,0,0,0,0,28,3.179,0,0,0,28
PIERCE T 3.57%,7.14% 35.71% 10.71% 10.71% 10.71% 17.86%,,,,,,,0.00%,3.57%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-603   2,2,5,4,3,9,1,,0,0,0,0,0,0,26,3.194,0,0,0,26
GEORGE J 7.69%,7.69% 19.23% 15.38% 11.54% 34.62%,,,,,3.85%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-606   3,3,2,7,3,3,0,,0,0,0,0,0,0,21,3.413,0,1,0,21
